5.11068,124.834,6.16483,909.48,1128.67
6.9867,124.839,6.16488,909.485,1128.67
7.89826,125.194,6.17099,909.84,1128.67
8.3063,126.197,6.1876,910.843,1128.66
8.84227,128.814,6.22927,913.461,1128.64
9.21031,131.661,6.26889,916.308,1128.62
9.5703,135.049,6.30221,919.696,1128.62
10.0743,140.791,6.30679,925.438,1128.67
10.4903,154.898,5.79684,931.103,1128.8
10.8023,150.435,6.09422,935.572,1128.99
11.1223,155.418,6.32962,940.669,1129.31
11.4463,160.821,6.46424,946.055,1129.77
11.8063,167.214,6.48478,952.411,1130.44
12.1983,186.771,5.63063,959.784,1131.39
12.5221,180.865,6.16073,966.644,1132.43
12.9423,188.432,6.57832,974.113,1133.71
13.3263,196.255,6.7644,981.779,1135.28
13.6823,203.859,6.63348,989.162,1137.11
14.0143,213.167,5.98123,996.186,1139.22
14.3383,217.096,6.3622,1002.75,1141.56
14.6263,223.174,6.45486,1008.39,1143.83
14.8753,229.65,6.39157,1014.34,1146.39
15.2143,236.073,6.2471,1020.21,1149.01
15.4573,245.782,6.14248,1025.63,1151.42
15.7823,247.953,6.04745,1031.05,1153.73
16.0743,254.31,6.04768,1036.93,1156.14
16.3663,260.295,6.0946,1042.49,1158.36
16.6583,266.761,6.14216,1048.49,1160.76
16.9623,278.278,6.10831,1054.53,1163.23
17.2703,280.213,6.03289,1060.94,1166
17.5584,286.226,5.90469,1066.44,1168.43
17.7958,292.133,5.81988,1071.85,1170.79
18.1183,306.224,6.51123,1077.22,1172.97
18.3686,304.539,5.94583,1082.59,1174.89
18.7384,311.458,5.65022,1089.23,1176.85
19.1343,319.689,5.76227,1097.24,1178.72
19.5223,328.27,6.01681,1105,1180.17
19.9143,336.617,5.85423,1113.26,1181.41
20.3183,345.007,5.92939,1121.59,1182.41
20.7143,353.765,6.04593,1129.98,1183.27
21.0864,361.365,5.94263,1137.55,1183.95
21.4543,369.383,5.91841,1145.54,1184.58
21.8303,377.398,5.9771,1153.54,1185.12
22.2263,385.582,6.08526,1161.54,1185.6
22.6263,394.024,6.06204,1169.97,1186.02
22.9881,410.045,6.08496,1178.84,1186.41
23.4183,410.967,6.10032,1186.89,1186.77
23.8023,419.015,6.10644,1194.93,1187.14
24.1903,437.931,6.16804,1203.38,1187.53
24.5944,436.015,6.0484,1211.83,1187.94
24.9556,444.422,5.95115,1220.23,1188.32
25.3943,452.761,5.95065,1228.57,1188.6
25.7863,461.014,6.0608,1236.42,1188.7
26.1783,469.277,5.90496,1244.68,1188.6
26.5703,477.584,5.90868,1252.99,1188.33
27.0023,486.346,6,1261.74,1187.96
27.4399,496.478,6.0946,1271.79,1187.54
27.9983,507.3,5.97186,1282.6,1187.17
28.5463,518.339,5.88341,1293.63,1186.76
29.0383,534.117,6.18705,1303.61,1186.2
29.5423,538.545,5.96027,1313.39,1185.34
30.0423,548.343,5.97797,1323.12,1184.23
30.5303,558.13,6.07032,1332.84,1183.05
31.0303,567.38,6.12881,1342.15,1182
31.5103,576.995,6.18408,1351.72,1181.07
31.9903,585.682,6.15083,1360.37,1180.31
32.4463,594.26,6.09115,1368.89,1179.58
32.8983,602.682,6.00881,1377.28,1178.85
33.3543,610.995,5.97922,1385.55,1178.07
33.8063,627.403,6.16922,1393.37,1177.27
34.2623,627.19,6.04765,1401.45,1176.33
34.7223,635.286,6.02164,1409.48,1175.3
35.1663,643.008,6.04581,1417.13,1174.27
35.6263,659.826,6.05962,1425.11,1173.19
36.0863,659.039,6.11213,1433.05,1172.13
36.6103,668.032,6.12468,1441.98,1171
37.09,677.286,6.10758,1451.16,1169.86
37.6583,686.116,6.09128,1459.92,1168.78
38.1783,694.883,6.0956,1468.61,1167.68
38.6983,703.604,6.11506,1477.26,1166.56
39.2183,712.304,6.1201,1485.89,1165.45
39.7423,720.835,6.132,1494.51,1164.41
40.2583,729.488,6.21317,1503.11,1163.45
40.7294,738.11,6.19592,1511.69,1162.59
41.2903,746.218,6.09714,1519.92,1161.87
41.7983,754.752,6.09752,1528.43,1161.22
42.2983,762.879,6.06898,1536.53,1160.63
42.7983,774.342,6.10397,1544.56,1160
43.2863,778.722,6.08967,1552.23,1159.32
43.7399,786.779,6.12519,1560.25,1158.55
44.2783,801.977,6.02296,1568.29,1157.81
44.7623,802.429,6.13586,1576.02,1157.22
45.2263,810.426,6.14222,1584,1156.71
45.7226,829.765,6.25657,1591.9,1156.26
46.2703,826.334,6.04217,1599.72,1155.78
46.7863,834.425,5.91216,1607.79,1155.19
47.3394,843.71,5.91786,1617.04,1154.36
48.0063,853.469,6.09218,1626.52,1153.29
48.6081,863.407,6.15964,1636.37,1151.98
49.2943,879.603,5.96819,1646.4,1150.73
49.9103,883.006,6.21576,1656.22,1149.84
50.5303,892.717,6.18234,1665.91,1149.24
51.1143,907.341,6.15561,1675.13,1148.72
51.6944,910.9,6.01886,1683.93,1148.09
52.2623,919.441,6.02349,1692.44,1147.35
52.8263,936.533,6.16661,1700.99,1146.42
53.3743,936.35,6.72464,1709.3,1145.23
53.9263,945.135,7.46422,1718,1143.83
54.4663,965.223,8.04638,1726.5,1142.49
55.0143,962.528,8.76111,1735.41,1141.26
55.5463,970.871,9.22199,1743.72,1140.33
56.0703,979.194,9.51063,1752.01,1139.56
56.6743,992.96,9.72119,1761.53,1138.82
57.2983,998.95,9.77152,1771.64,1138.11
57.9183,1008.96,9.79592,1781.62,1137.44
58.5223,1018.98,9.79339,1791.72,1136.78
59.1143,1029.34,10.1161,1802.41,1136.24
59.6823,1056.05,9.14632,1812.99,1136.04
