a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
1915.28, 19, 1.11022e-16, -7.40149e-16, 1.38778e-15, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 1.90085, 2.01149, 19.1013, 19.1071, 7.0189e-06, 7.84693e-06, 0.382966, 8.31022, 0, 5.21498, 0
1919.08, 19, -4.41762e-29, 2.94508e-28, -5.52203e-28, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 1.73205, 1.94139, 19.0922, 19.1034, 5.82847e-06, 7.31942e-06, 0.338449, 8.35519, 0, 5.03962, 0
1924.02, 19, 4.48416e-44, -2.98944e-43, 5.60519e-43, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 1.18667, 1.39655, 19.0631, 19.0743, 2.74125e-06, 3.79319e-06, 0.167928, 8.56233, 0, 5.07331, 0
1928.58, 19, 1.99136e-59, -1.32758e-58, 2.48921e-58, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 0.682742, 0.892729, 19.0363, 19.0475, 9.10626e-07, 1.55413e-06, 0.063155, 8.75557, 0, 5.02243, 0
1933.9, 19, 8.84344e-75, -5.89562e-74, 1.10543e-73, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 0.0948031, 0.304773, 19.0051, 19.0163, 1.80806e-08, 1.82732e-07, 0.00509371, 8.98346, 0, 5.51295, 0
1937.7, 19, -3.51884e-87, 2.34589e-86, -4.39855e-86, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, -0.325123, -0.115161, 18.9828, 18.994, 2.52306e-08, 2.04747e-07, 0.00594834, 9.14792, 0, 5.63495, 0
1941.5, 19, 1.40373e-99, -9.35821e-99, 1.75466e-98, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, -0.745035, -0.535083, 18.9605, 18.9717, 5.57298e-07, 1.08364e-06, 0.0420695, 9.3139, 0, 5.46287, 0
1945.68, 19, -8.12141e-115, 5.41428e-114, -1.01518e-113, 0, -2.00079, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, -1.20679, -0.996939, 18.936, 18.9471, 1.94581e-06, 2.85738e-06, 0.122511, 9.49831, 0, 6.22392, 0
1949.48, 19, 3.23154e-127, -1.53883e-127, 2.06093e-128, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.83523, -0.752327, 18.9025, 18.9594, 1.14496e-06, 6.65271e-06, 0.152797, 9.53871, 0, 6.41511, 0
1953.28, 19, 2.35771e-127, -1.12272e-127, 1.50364e-128, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.83523, -0.752327, 18.9025, 18.9594, 1.14496e-06, 6.65271e-06, 0.145017, 9.52774, 0, 6.65618, 0
1957.08, 19, 1.72016e-127, -8.82135e-128, 1.27231e-128, 0, -2.00079, 0, 0, 0, 0, 0, 2.6, 0, 0, 0, 0, -1.73704, -0.752327, 18.9075, 18.9594, 1.14496e-06, 5.98301e-06, 0.130571, 9.50743, 0, 5.40473, 0
1962.02, 19, 1.0837e-127, -6.5679e-128, 1.11953e-128, 0, -2.00079, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, -1.53877, -0.760723, 18.9179, 18.959, 1.16874e-06, 4.70827e-06, 0.112942, 9.47925, 0, 6.32115, 0
1966.2, 19, 6.82733e-128, -5.05728e-128, 1.0536e-128, 0, -2.00079, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, -1.3714, -0.767197, 18.9267, 18.9586, 1.18924e-06, 3.74947e-06, 0.0992124, 9.4555, 0, 5.82603, 0
1970.76, 19, 3.55021e-128, -3.94468e-128, 1.23271e-128, 0, -2.00079, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, -1.18939, -0.747772, 18.9363, 18.9597, 1.12828e-06, 2.82933e-06, 0.0856259, 9.42899, 0, 6.35345, 0
1975.32, 19, 1.13607e-128, -1.89345e-128, 8.87553e-129, 0, -2.00079, 0, 0, 0, 0, 0, 0.8, 0, 0, 0, 0, -1.00807, -0.760723, 18.9459, 18.959, 1.16874e-06, 2.04021e-06, 0.0732281, 9.4039, 0, 6.8525, 0
1979.88, 19, 7.95247e-130, -0.510204, 0.182216, 0, -2.00079, 0, 0, 0, 0, 0, 1.4, 0, 0, 0, 0, -1.92259, -1.10976, 17.9586, 18.9409, 1.14541e-06, 2.42999e-06, 0.270256, 13.724, 0, 5.15762, 0
1983.68, 18.9446, -0.262391, 0.132013, -0.0179958, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.21178, 0.326813, 18.6855, 19.0177, 6.21675e-10, 3.59998e-06, 0.0803489, 10.5643, 0, 6.95331, 0
1988.21, 18.8405, -0.17356, 0.102995, -0.0147024, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.11982, 0.730182, 18.6729, 19.0399, 4.41994e-09, 3.60393e-06, 0.0745801, 10.5889, 0, 7.56709, 0
1992.35, 18.7784, -0.109853, 0.0805714, -0.0120524, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.10668, 1.1016, 18.6654, 19.0602, 1.22164e-08, 3.52528e-06, 0.0758989, 10.5331, 0, 6.66565, 0
1996.85, 18.739, -0.0560069, 0.0599653, -0.00951746, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.13567, 1.36417, 18.662, 19.0718, 1.62139e-09, 3.67153e-06, 0.0840738, 10.4077, 0, 6.11826, 0
2001.72, 18.7213, -0.0130943, 0.0417796, -0.00718228, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.14749, 1.36915, 18.6613, 19.0627, 1.07795e-08, 3.54149e-06, 0.0889241, 10.2342, 0, 6.77887, 0
2006.58, 18.7225, 0.0165807, 0.0275009, -0.00526335, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.17556, 1.42995, 18.6642, 19.0518, 2.12123e-11, 3.73415e-06, 0.08895, 10.0408, 0, 7.81632, 0
2011.08, 18.7349, 0.0345623, 0.017354, -0.00383368, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.16955, 1.39848, 18.6757, 19.0421, 1.03037e-08, 3.55264e-06, 0.0839353, 9.8584, 0, 7.66266, 0
2015.95, 18.7561, 0.0465435, 0.00894177, -0.00258619, 0, -2.00079, 0, 0, 0, 0, 0, 2.8, 0, 0, 0, 0, -1.18654, 1.43119, 18.6944, 19.0322, 1.29635e-11, 3.74124e-06, 0.0748593, 9.66362, 0, 8.98679, 0
