Acc, Kappa
0, -4.4533e-05
4.01816, 3.42086e-06
4.32695, -0.0600327
5.80261, -0.0735183
6.76427, -0.033464
7.33878, -0.0127902
7.52147, -0.00339887
7.36519, 0.000728675
6.98781, 0.00278346
6.5208, 0.00389508
5.90454, 0.00477994
5.45381, 0.00527175
4.89285, 0.00585776
4.44582, 0.00631125
3.05408, 0.00627013
2.31529, 0.00584281
1.71855, 0.0054393
1.10876, 0.00495351
0.643219, 0.00449761
0.293338, 0.00407622
0.0113319, 0.00365452
0.687583, 0.00539899
0.533244, 0.00688564
0.44637, 0.00764309
0.332937, 0.00808498
0.339093, 0.00826453
0.415711, 0.00835254
0.460915, 0.00842707
-3.81438, 0.00833887
-1.25265, 0.00601516
1.26745, 0.00357286
1.19361, 0.00179671
0.793617, -6.41526e-05
0.554326, -0.00177793
-0.697312, -0.00358018
0.455361, -0.00431529
0.40303, -0.00323205
0.593267, -0.00204201
-1.01371, -0.000776846
-0.146041, 0.000441601
0.557408, 0.00158482
-0.524687, 0.00262026
-0.0853177, 0.000338632
-1.19923, -0.00166579
-1.20558, -0.0039659
-1.21495, -0.00615753
-1.21112, -0.00883964
0.505072, -0.0089626
0.498441, -0.00783821
0.486853, -0.00675991
0.472814, -0.00564921
0.461535, -0.00467459
0.319287, -0.00406346
0.32393, -0.00341262
0.326491, -0.00276579
0.327692, -0.00212466
0.328139, -0.00148979
0.0198408, -0.00137342
0.019905, -0.00134017
0.0199351, -0.00130987
0.0199405, -0.00127945
0.0199222, -0.00124592
0.019887, -0.00121478
0.0198329, -0.00118029
0.162096, -0.000958277
0.162077, -0.00064932
-0.405367, -0.000366664
-0.183219, -6.06849e-05
-0.17626, 0.000171365
-0.0273789, 0.000164885
0.0821689, 0.000158711
0.181065, 0.000156325
0.226114, 0.000150264
0.224899, 0.000144669
-0.0232172, -0.000395356
-0.352517, -0.00101564
-0.353315, -0.00164179
-0.354362, -0.00233192
-0.355035, -0.00302931
0.348509, -0.00342227
0.349631, -0.00273282
0.34953, -0.00204795
0.348873, -0.00136922
0.34814, -0.000697123
-0.747994, -0.00164543
0.00519261, -0.00174698
-0.150212, -0.00137566
0.172092, -0.00170635
0.228706, -0.00189893
0.0256982, -0.00205305
-0.441149, -0.0022838
-0.491127, -0.00245344
-0.544307, -0.00269819
-0.590435, -0.00302503
0.507598, -0.00243052
-3.00713, -0.00175935
0.278236, -0.000356079
0.411957, 0.000541852
0.52499, 0.00128043
0.637962, 0.00201488
0.774066, 0.00269489
-0.164064, 0.00287555
-0.311244, 0.00240877
-0.316432, 0.00185779
-0.319214, 0.00138721
-0.321, 0.000875971
-0.321784, 0.000412231
-0.190299, -5.59297e-05
-0.19006, -0.000407841
-0.189868, -0.000642531
-0.189645, -0.000894874
-0.189439, -0.00111471
-0.189171, -0.00137492
-0.188834, -0.00164914
0.311965, -0.00167801
0.311482, -0.00130177
0.310912, -0.000953115
0.310319, -0.000570487
0.309864, -0.00018679
0.309607, 0.000164918
0.309494, 0.000515816
-0.14043, 0.000687826
-0.140373, 0.000522651
-0.140335, 0.000370839
-0.140315, 0.000204436
-0.140315, 7.89801e-05
-0.14033, -7.52669e-05
-0.14036, -0.000244739
-0.140393, -0.000401218
0.252641, -0.000493434
0.252693, -0.000204506
0.252732, 0.000108311
0.252753, 0.000392952
0.252737, 0.000701261
0.252646, 0.000981885
0.060305, 0.00116648
0.0604284, 0.00122697
0.0605751, 0.00129963
0.0607031, 0.00136629
0.0608195, 0.00143299
0.0609269, 0.0015058
-0.489485, 0.00128914
-0.489547, 0.000698207
-0.489529, 0.000150423
-0.489557, -0.000453919
-0.489587, -0.00101424
