minAcc, maxAcc, minKappa, maxKappa
0, 8.07422, -4.4533e-05, 0.00448666
0.879164, 8.91655, -0.0924372, 0.00718181
0.842508, 8.78388, -0.0931942, 0.0071277
0.699502, 8.5819, -0.0735183, 0.00669732
0.529472, 8.00368, -0.033464, 0.00658114
0.365493, 7.56798, -0.0127902, 0.00657089
0.213222, 7.52147, -0.00339887, 0.00637339
0.0874439, 7.36519, 0.000728675, 0.00633679
-0.0145616, 6.98781, 0.00278346, 0.00644982
0.0954197, 6.5208, 0.00353822, 0.00652619
0.363409, 5.90454, 0.00358361, 0.0064693
0.385507, 5.45381, 0.00357058, 0.00644236
0.340113, 4.89285, 0.00352087, 0.00653304
-0.135554, 4.44582, 0.00362305, 0.0065103
-0.140788, 3.05408, 0.00353995, 0.00659029
-0.0688038, 2.31529, 0.00359599, 0.00673039
-0.0853158, 1.71855, 0.00359516, 0.00681449
-0.024599, 1.10876, 0.00351204, 0.00700882
-0.0586249, 0.739473, 0.00355348, 0.00713903
-0.0757191, 0.727592, 0.00350403, 0.00720503
-0.100852, 0.703792, 0.00365452, 0.00930565
0.364008, 0.687583, 0.00539899, 0.00915449
0.366824, 0.533244, 0.00688564, 0.00898192
0.318947, 0.509091, 0.00764309, 0.00870614
0.328432, 0.435654, 0.00808498, 0.00847146
0.339093, 0.440702, 0.00826453, 0.00838154
0.415711, 0.461419, 0.00835254, 0.00836804
-3.87954, 0.460915, 0.00602709, 0.00870533
-3.81438, 2.16535, 0.00647042, 0.00833887
-1.25265, 1.36736, 0.00161074, 0.00601516
-1.05548, 1.26745, -0.00424203, 0.00357286
-1.05096, 1.19361, -0.00439753, 0.00179671
-0.0186678, 0.931909, -0.00235652, -6.41526e-05
-0.899989, 0.606393, -0.0047202, -0.00177793
-0.986541, 0.51826, -0.00451297, -0.00305222
0.392473, 0.46309, -0.00431529, -0.00284138
0.40303, 0.491443, -0.00323205, -0.0027383
-1.34656, 0.593267, -0.00204201, 0.00179356
-1.02579, 0.855019, -0.00630673, 0.00252336
-0.9866, 0.897286, -0.00493227, 0.00244265
-1.20762, 1.09375, -0.00435361, 0.00254006
-0.683639, -0.0836027, -0.0018572, 0.00262026
-0.0853177, 0.326936, -0.00056587, 0.000338632
-1.20062, -1.19923, -0.00261301, -0.00166579
-1.21014, -1.20558, -0.00495202, -0.0039659
-1.21677, 0.505474, -0.00925794, -0.00139027
-1.21112, 0.505387, -0.00944173, -0.00135685
0.0198947, 0.505072, -0.0089626, -0.00133064
0.0199016, 0.498441, -0.00783821, -0.00129842
0.0199018, 0.486853, -0.00675991, -0.00126528
0.0198611, 0.472814, -0.00564921, -0.00122834
0.0198578, 0.461535, -0.00467459, -0.00119334
0.0198054, 0.328081, -0.00406346, -0.00101636
0.0198119, 0.328123, -0.00341262, -0.000962406
0.0198219, 0.32816, -0.00276579, -0.000908954
0.0197956, 0.328095, -0.00212466, -0.000856106
0.0198116, 0.328139, -0.00148979, -0.000803827
0.0198371, 0.162099, -0.00137342, -0.000829142
0.019847, 0.162098, -0.00134017, -0.000777597
0.0198396, 0.162097, -0.00130987, -0.000751939
0.0198334, 0.162097, -0.00127945, -0.000726342
0.0198226, 0.162097, -0.00124592, -0.00080369
0.0198429, 0.162096, -0.00121478, -0.000906755
0.0198329, 0.162096, -0.00118029, -0.000855246
0.162093, 0.162096, -0.000958277, -0.000829482
-1.07556, 0.162077, -0.00064932, 0.000170911
-0.405367, 0.223052, -0.00158547, 0.000170175
-0.304031, 0.220604, -0.00169877, 0.000171925
-0.30493, 0.219104, -0.00175567, 0.000171365
-0.307142, 0.214685, -0.0018696, 0.000164885
-0.294253, 0.241288, -0.00141448, 0.000158711
-0.299131, 0.233388, -0.00152608, 0.000156325
-0.353754, 0.229006, -0.00192678, 0.000150264
-0.110023, 0.224899, -0.000563979, 0.000144669
-0.205895, -0.0232172, -0.000676552, -0.000395356
-0.352837, -0.352517, -0.00129951, -0.00101564
-0.353755, -0.353315, -0.00192843, -0.00164179
-0.355059, 0.349697, -0.00349768, -0.00108837
-0.355035, 0.349687, -0.00353744, -0.00097636
0.348509, 0.349691, -0.00342227, -0.00114445
0.34881, 0.349695, -0.00273282, -0.00131296
0.348683, 0.34953, -0.00204795, -0.00120057
0.348556, 0.348873, -0.00136922, -0.00108837
-1.25111, 0.34814, -0.00287232, -0.000697123
-0.747994, 0.394132, -0.0029144, -0.00156243
-0.254876, 0.454381, -0.00276963, -0.00131468
-0.421035, 0.234016, -0.00253082, -0.00137566
-0.167884, 0.233091, -0.00224411, -0.00170635
-0.170021, 0.228706, -0.0021579, -0.00189893
-0.170683, 0.0256982, -0.002131, -0.00205305
-0.463789, -0.441149, -0.00235151, -0.0022838
-0.513882, -0.491127, -0.00254336, -0.00245344
-0.600284, 0.617768, -0.00312177, 0.000310985
-0.606444, 0.608465, -0.00318826, 8.50373e-05
-3.14811, 0.507598, -0.00243052, -0.00137203
-3.00713, 0.673067, -0.00175935, -4.49726e-07
-0.297023, 0.697005, -0.000356079, 0.00310091
-0.293771, 0.719572, 0.000541852, 0.00300433
-0.286523, 0.741992, 0.00128043, 0.00303683
