a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
124.932, 0, 0, 1.3125, -0.164062, 0, -6.09322, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, -0.196697, 8.07419, 0.0387083, 21.4395, 1.20924e-11, 2.01302e-05, 3.48035, 249.886, 0, 0, 0
125.194, 1.27575, 2.00813, 1.3045, -0.275635, 0, -6.09322, 0, 0, -0.571371, 0.214264, -0.0214264, 2.8, 0, 0, 0, 0, -0.213526, 8.92789, 1.71581, 19.7707, 1.33328e-08, 0.0368017, 4.8678, 182.51, 0, 1.2, 0
125.249, 1.44259, 2.16202, 1.20993, -0.262021, 0, -6.09326, -0.00268801, -0.0665213, -0.520467, 0.201453, -0.0203553, 2.8, 0, 0, 0, 0, -0.214776, 8.79681, 1.91101, 19.7641, 3.6947e-09, 0.0352944, 4.775, 176.645, 0, 2.7, 0
125.683, 2.5584, 2.88448, 0.85113, -0.213307, 0, -6.10215, -0.0991873, -0.353695, -0.26751, 0.135025, -0.0146853, 2.8, 0, 0, 0, 0, -0.24335, 8.61047, 3.16776, 20.741, 6.83811e-10, 0.00692396, 4.7237, 137.835, 0, 2.9, 0
126.316, 3.8075, 3.34397, 0.473004, -0.155553, 0, -6.13806, -0.268563, -0.48297, -0.101426, 0.0875096, -0.0104701, 2.8, 0, 0, 0, 0, -0.249616, 8.02657, 4.51277, 20.6997, 6.14441e-09, 0.000765549, 4.11792, 110.864, 0, 3.1, 0
127.321, 5.34091, 3.61098, 0.150269, -0.103598, 0, -6.2214, -0.492192, -0.525613, 0.027439, 0.0466771, -0.00669478, 2.8, 0, 0, 0, 0, -0.255481, 7.57885, 6.11526, 20.6513, 4.61104e-10, 3.80989e-05, 3.48224, 84.9699, 0, 3.3, 0
128.812, 7.09441, 3.68337, -0.107864, -0.0590415, 0, -6.36928, -0.737275, -0.490651, 0.116229, 0.0139328, -0.00350256, 2.8, 0, 0, 0, 0, -0.260687, 7.45712, 7.91195, 20.5979, 3.5957e-09, 2.72611e-05, 2.78122, 61.6592, 0, 3.5, 0
130.725, 8.84053, 3.5853, -0.283884, -0.0255246, 0, -6.57283, -0.951991, -0.402635, 0.162541, -0.008331, -0.00116888, 2.8, 0, 0, 0, 0, -0.264681, 7.23506, 9.67914, 20.5463, 4.62804e-10, 2.74204e-05, 2.1725, 43.393, 0, 3.7, 0
133.05, 10.511, 3.37208, -0.395423, -0.00107421, 0, -6.82229, -1.11765, -0.288647, 0.178148, -0.0222816, 0.000452978, 2.8, 0, 0, 0, 0, -0.267549, 6.81581, 11.3612, 20.4915, 5.5332e-08, 2.82652e-05, 1.65031, 29.6078, 0, 3.9, 0
135.521, 11.9373, 3.11079, -0.452919, 0.0147476, 0, -7.08029, -1.21973, -0.177491, 0.173376, -0.0293178, 0.00142421, 2.8, 0, 0, 0, 0, 0.0956868, 6.32532, 12.7988, 20.614, 1.99012e-06, 2.96529e-05, 1.25273, 20.2834, 0, 4.20002, 0
138.827, 13.4641, 2.7635, -0.482285, 0.0273745, 0, -7.40651, -1.27889, -0.0538992, 0.153839, -0.0326538, 0.00209781, 2.8, 0, 0, 0, 0, 0.363885, 5.69344, 14.351, 20.7943, 7.68481e-06, 2.92519e-05, 0.87333, 12.4954, 0, 4.2, 0
141.337, 14.4127, 2.50839, -0.459824, 0.0265839, 0, -7.63759, -1.28409, 0.0229482, 0.134261, -0.0324351, 0.00231203, 2.6, 0, 0, 0, 0, 0.386004, 5.25242, 15.3285, 20.7796, 1.24248e-05, 2.94679e-05, 0.722209, 9.24694, 0, 4.50001, 0
