minAcc, maxAcc, minKappa, maxKappa
-0.0864075, -0.0864046, 0.000423744, 0.000495348
-0.0864097, 1.15847, -0.000473068, 0.000337736
-0.168981, 0.608199, -0.000537367, 0.00125961
-0.190726, 0.352778, -0.000508058, 0.00134034
-0.198958, 0.159408, -0.000524625, 0.00142103
-0.183125, 0.15328, -0.000522846, 0.00150165
-0.355169, 0.167138, -0.00049806, 0.00153956
-0.180699, 0.11304, -0.000232837, 0.00152032
-0.352566, 0.053103, 5.77921e-05, 0.00152689
-0.177559, 0.0168017, 0.000347022, 0.00153273
-0.177559, 0.00486788, 0.000608726, 0.00153273
-0.263822, 0.49998, -0.00148961, 0.00153822
-0.263831, 0.499977, -0.00148963, 0.00153822
-0.254228, 0.531191, -0.00112065, 0.00152575
-0.257808, 0.520746, -0.00122627, 0.00153837
-0.261899, 0.510273, -0.0013323, 0.00154336
-0.241678, 0.544243, -0.000960874, 0.00153838
-0.253984, 0.541514, -0.00112018, 0.00152571
-0.332187, 0.162697, -0.00138779, 0.00123705
-0.168843, 0.12674, -0.000641751, 0.000670407
-0.168845, 0.107129, -0.000641785, 0.000149505
-0.205158, -0.0636778, -0.000694903, -0.000429674
-0.332232, -0.332209, -0.00128174, -0.00101446
-0.332115, 0.44373, -0.0018313, -0.00111466
0.443492, 0.443617, -0.00140054, -0.00104335
-2.08395, 0.443367, -0.000616827, 0.00110369
-1.89382, 0.63776, -0.000636829, 0.00236831
-0.773374, 0.673195, -0.00069717, 0.00231069
-0.113061, 0.712315, -0.000758245, 0.00230056
-0.12278, 0.762573, -0.000819524, 0.0023662
-0.389676, 0.577711, -0.00119448, 0.00184514
-0.151131, 0.565087, -0.00154287, 0.00119589
-0.125831, 0.407152, -0.00100455, 0.000535456
-0.19578, 0.316759, -0.00112967, -0.000197251
-0.240656, -0.0489058, -0.00119239, -0.000879503
-0.141714, -0.141615, -0.00154357, -0.00142911
-0.141946, -0.141853, -0.00181922, -0.0017042
-0.14209, -0.142027, -0.00204993, -0.00193447
-0.142131, -0.142129, -0.0023046, -0.00218874
-0.142072, -0.141969, -0.00255995, -0.00244382
-0.141724, 0.818593, -0.00283877, -0.00176447
0.818039, 0.818593, -0.00243049, -0.00176447
-1.11253, 0.817526, -0.000972634, 0.00401171
-0.696039, 0.688206, -0.00247991, 0.00448285
-0.563463, 0.683482, -0.00245956, 0.00438215
-0.519855, 0.739872, -0.00258081, 0.00452286
-0.429253, 0.739875, -0.00105197, 0.00452266
-0.68204, 0.148724, -0.00171105, 0.00357891
-0.682034, 0.148726, -0.00171106, 0.00255882
-0.462651, 0.145561, -0.00126993, 0.00141563
-0.0192809, 0.205251, -0.000289366, 0.000249041
-0.682949, 0.341826, -0.00260178, -0.000683984
-0.682505, 0.341825, -0.00256336, -0.000629305
0.341184, 0.341825, -0.00228482, -0.000903064
0.341741, 0.34181, -0.00161902, -0.00134295
-0.943868, 0.341822, -0.00084824, 0.000977187
-0.804431, -0.103956, -0.000247951, 0.000977049
-0.895391, -0.209308, 0.000452267, 0.00097732
-0.85306, 0.376554, -0.00075213, 0.000977184
-0.517231, 0.340172, -0.00080154, 0.00097556
-0.257929, 0.343153, -0.000826294, 0.000974067
-0.0619635, 0.406584, -0.000602728, 0.000972566
-0.0642342, 0.409109, -0.000627655, 0.000971054
-0.0894606, 0.353156, -0.000902909, 0.000969528
-0.034975, 0.269173, -0.000850684, 0.000903638
-0.0396773, 0.267675, -0.000851845, 0.000637116
-0.157845, 0.27863, -0.000878019, 0.000368572
-0.0737259, 0.275735, -0.000879109, 7.33373e-05
-0.0903328, 0.203521, -0.000852493, -0.000224453
-0.100619, 0.0833237, -0.000877799, -0.000499651
-0.114199, -0.0533321, -0.00090315, -0.000776713
-0.663528, 0.256327, -0.000704324, 0.00274718
-0.788674, 0.229357, -0.000384549, 0.00598122
-0.722887, 0.27944, -6.67261e-05, 0.00589674
-0.777999, 0.242265, 0.000247906, 0.00581141
-0.72191, 0.281877, 0.000559375, 0.00587509
-0.71902, 0.286152, 0.000867357, 0.00594411
-0.719029, 0.28615, 0.00136203, 0.00594472
-0.759847, 0.250536, 0.00215183, 0.00598759
-0.696277, 0.279346, 0.00293482, 0.00589648
-0.696278, 0.279343, 0.00364285, 0.00589624
0.0565367, 0.232471, 0.00448723, 0.00553014
0.123602, 0.276898, 0.00525456, 0.00559976
-0.611877, -0.608742, 0.00551681, 0.00599036
-0.613989, -0.613519, 0.00455661, 0.00503858
-0.613424, 0.876469, -0.000728618, 0.00397432
-0.157337, 0.833676, -0.000698085, 0.00289574
-0.868516, 0.824335, -0.000793094, 0.00448079
-0.856451, 0.667805, -0.000814341, 0.00436574
-0.848723, 0.635734, -0.000739264, 0.00437
-0.697126, 0.442429, -0.000285739, 0.00442913
-0.697128, 0.110434, 0.000466454, 0.00443016
-0.817453, -0.132099, 0.00128296, 0.00448378
-0.661981, -0.12148, 0.00201578, 0.00448795
-0.634659, -0.0789522, 0.00281252, 0.00443129
-0.595412, -0.0238769, 0.00359183, 0.0043771
-0.595414, -0.0238846, 0.00428945, 0.00437582
-0.350387, -0.350224, 0.00376542, 0.00404366
-0.349693, -0.349056, 0.00315083, 0.00343054
-0.348313, -0.347523, 0.00259009, 0.00287066
-0.346587, 0.303413, 0.000568715, 0.00492908
-0.345154, 0.305606, 0.000607554, 0.00545362
-0.344397, 0.305816, 0.000669695, 0.00554894
0.229922, 0.305896, 0.000723991, 0.00559658
0.229645, 0.3046, 0.00114981, 0.00516748
0.229645, 0.3046, 0.00153508, 0.00516748
0.230448, 0.302583, 0.00199442, 0.00478616
0.230448, 0.302583, 0.00237397, 0.00478616
0.23019, 0.301373, 0.00278698, 0.00459583
0.292002, 0.300077, 0.00322738, 0.00440583
0.295341, 0.297021, 0.00374394, 0.00397974
0.299408, 0.301056, 0.00431096, 0.0045483
0.302868, 0.304158, 0.00483379, 0.0050721
0.305329, 0.305896, 0.00535826, 0.00559658
-0.144505, 0.305957, 0.0058819, 0.00635473
-0.144479, 0.303818, 0.00633244, 0.00640089
-0.144091, -0.143487, 0.00608755, 0.00619875
-0.142459, -0.141376, 0.0058445, 0.00595463
-0.139835, -0.138374, 0.00560502, 0.00571333
-0.136438, -0.134693, 0.00537051, 0.00547641
-0.132465, -0.130517, 0.00514204, 0.00524508
-0.12809, -0.126009, 0.00492045, 0.00502028
-3.73837, 0.137458, 0.00499883, 0.00532003
-3.701, -2.20755, 0.00523534, 0.005341
0.127697, 0.12815, 0.00546684, 0.00557185
0.128479, 0.128556, 0.00569805, 0.00580322
0.128019, 0.128391, 0.0059292, 0.0060338
0.12657, 0.127418, 0.00613788, 0.00624125
-0.00739942, 0.125208, 0.00636407, 0.00637066
-3.89786, -0.0039006, 0.00636193, 0.00636423
-3.85843, -2.34748, 0.00636213, 0.00636426
-0.135906, 0.477845, 0.00167812, 0.00646482
0.185323, 0.81602, 0.00165752, 0.00647293
0.277697, 0.80788, 0.0016496, 0.00647292
0.259856, 0.824278, 0.00164427, 0.00647297
0.242133, 0.801056, 0.00166563, 0.00647701
0.237357, 0.772262, 0.00168801, 0.00579817
0.235633, 0.795004, 0.00163961, 0.00517865
0.257815, 0.841824, 0.00164075, 0.00460398
0.257817, 0.841825, 0.00164066, 0.00402112
0.296427, 0.90161, 0.00166626, 0.00337291
0.161633, 1.02211, 0.00166658, 0.00277621
0.554577, 1.21425, 0.00169277, 0.00211161
0.484104, 1.19007, 0.00174399, 0.00213394
0.484105, 0.763102, 0.00200395, 0.00213443
0.161181, 0.161516, 0.0022648, 0.00239563
-0.280639, 0.70016, -0.00124463, 0.00372971
-0.473865, 0.344572, -0.00114922, 0.00375249
-0.471284, 0.294732, -0.0012199, 0.00376814
-0.468211, 0.296324, -0.00122261, 0.00376697
-0.208331, 0.626532, -0.00119189, 0.00370351
-0.0516571, 0.619, -0.00113748, 0.00331226
-0.0563518, 0.60981, -0.00118878, 0.00258897
-0.0717597, 0.598599, -0.00125855, 0.0018566
0.028045, 0.614656, -0.000625232, 0.00111255
-0.0312892, 0.614768, -0.000696361, 0.000356554
-0.122501, 0.228356, -0.000768164, -0.000413946
-0.443966, 0.337826, -0.00119504, -0.0010784
-1.55669, 0.3379, -0.000698821, 0.00139028
-1.5567, -0.517159, -0.000160676, 0.00113782
-1.55373, -0.412889, 0.000420152, 0.00118921
-0.866193, -0.253534, 0.000986146, 0.00123975
-0.23747, 0.307944, -0.00019907, 0.00303689
-0.237475, 0.307946, -0.000336087, 0.00299876
-0.237474, 0.307627, -0.000473082, 0.00296061
-0.237462, 0.458083, -0.000662707, 0.00288425
-0.0673936, 0.448968, -0.000688512, 0.00242362
-0.0128654, 0.438809, -0.000714102, 0.00196098
-0.0143451, 0.435271, -0.000726789, 0.00153446
0.00170439, 0.474865, -0.000623706, 0.00106489
-0.00374503, 0.46569, -0.000649716, 0.000590409
-0.00995711, 0.466608, -0.000675473, 0.000165292
-0.0814428, 0.435081, -0.00066268, -1.33692e-05
-0.081367, 0.408682, -0.000688639, -0.00016794
-0.00502118, 0.317558, -0.000636747, -0.000310861
-0.027341, 0.175009, -0.000662825, -0.000467169
-0.04041, 0.020653, -0.000675722, -0.000610534
-2.01312, 0.520684, -0.000682541, 0.00133478
-1.90217, -0.606989, 0.000305038, 0.00149131
-1.23593, -0.372184, 0.00118013, 0.00156951
0.473912, 0.475069, 0.00203302, 0.00241814
-7.19549, 0.476523, 0.00287904, 0.00325851
-7.28026, 0.432222, 0.0037699, 0.00412767
-3.5052, 0.388393, 0.00454023, 0.00525572
-3.47139, 2.8384, -0.000611221, 0.00527398
-2.24234, 2.61126, -0.00076896, 0.00487718
