Acc, Kappa
-3.85843, 0.00636213
0.00562796, 0.00636819
0.185323, 0.00638498
0.434974, 0.00640695
0.609958, 0.00643628
0.734831, 0.00647701
0.446963, 0.00579817
0.466013, 0.00517865
0.467357, 0.00460398
0.484194, 0.00402112
0.476287, 0.00337291
0.490497, 0.00277621
0.554577, 0.00211161
1.19007, 0.00174399
0.763102, 0.00200395
0.161181, 0.0022648
0.161883, 0.00255265
0.344572, 0.00284046
0.288557, 0.00312845
0.247283, 0.00339002
0.210395, 0.00367512
-0.0516571, 0.00331226
0.157832, 0.00258897
0.273172, 0.0018566
0.299971, 0.00111255
0.614768, 0.000356554
0.228356, -0.000413946
-0.443966, -0.00119504
0.3379, -0.000698821
-1.07184, -0.000160676
-1.55373, 0.000420152
-0.866193, 0.000986146
0.307757, 0.0015414
0.307946, 0.0020934
0.307627, 0.00264158
-0.237462, 0.00288425
-0.0673936, 0.00242362
0.0644874, 0.00196098
0.153028, 0.00153446
0.218758, 0.00106489
0.281999, 0.000590409
0.466608, 0.000165292
0.435081, -1.33692e-05
0.408682, -0.00016794
0.317558, -0.000310861
0.175009, -0.000467169
0.020653, -0.000610534
0.520684, -0.000682541
-1.90217, 0.000305038
-1.23593, 0.00118013
0.473912, 0.00203302
0.476523, 0.00287904
0.432222, 0.0037699
0.388393, 0.00454023
-3.47139, 0.00527398
-2.24234, 0.00487718
-0.95877, 0.00434178
-0.0497751, 0.00375222
0.640339, 0.00310603
1.01007, 0.00255901
1.26142, 0.00194501
1.38185, 0.00131738
1.40385, 0.000673415
1.35409, 1.14954e-05
1.52575, -0.000288
1.40959, -0.00045089
1.27391, -0.000617445
1.13977, -0.000786802
3.11174, -0.000975518
1.92688, -0.0011549
-0.103345, -0.00133745
0.0649058, -0.00140464
0.0648127, -0.00127914
0.0647198, -0.00117484
0.0646002, -0.00105004
0.0645011, -0.000946347
0.0643996, -0.000832601
0.0643054, -0.000708872
-0.160148, -0.000585483
-0.285875, -0.000472879
-0.392641, -0.000358598
-0.540452, -0.000219292
-0.674538, -9.29767e-05
-0.61155, 3.23455e-05
-0.595856, 0.000156664
-0.249523, 0.000279968
0.0872335, 0.000424961
0.303709, 0.000547263
0.468169, 0.000669876
