a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
124.932, 0, 0, 1.3125, -0.164062, 0, -6.09322, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, -0.125849, 8.07414, 0.0387083, 21.4395, 1.20924e-11, 2.01302e-05, 3.48762, 249.886, 0, 0, 0
125.194, 1.27575, 2.00813, 4.29159, -1.29541, 0, -6.09322, 0, 0, 0.0145661, -0.0054623, 0.00054623, 1.8, 0, 0, 0, 0, 3.3727, 14.8452, 1.80128, 20.2577, 2.02861e-08, 4.08301e-05, 1013.55, 193.842, 0, 7.07397, 0
125.249, 1.45667, 2.51068, 2.96205, -0.845123, 0, -6.09322, 6.8526e-05, 0.00169585, 0.0132684, -0.00513571, 0.000518924, 2, 0, 0, 0, 0, 2.68599, 13.0008, 2.04485, 20.3588, 1.67882e-09, 3.36979e-05, 1010.62, 181.898, 0, 7.76184, 0
125.72, 2.95546, 4.22021, 0.164426, -0.119077, 0, -6.093, 0.00252861, 0.00901684, 0.00681971, -0.00344223, 0.000374376, 2.8, 0, 0, 0, 0, -0.119138, 8.67482, 3.80771, 20.4444, 2.58327e-08, 1.93893e-05, 4.48817, 115.062, 0, 6.19219, 0
126.39, 4.48794, 4.28585, -0.062301, -0.0799855, 0, -6.09221, 0.00635921, 0.0120521, 0.00298433, -0.00234837, 0.000277468, 2.8, 0, 0, 0, 0, -0.115031, 8.57271, 5.35309, 20.4187, 2.62476e-08, 1.99837e-05, 3.80331, 91.2806, 0, 2.82065, 0
127.713, 6.52996, 4.21335, -0.288239, -0.0380983, 0, -6.08996, 0.0125347, 0.0134276, -0.000715282, -0.00118646, 0.0001704, 2.8, 0, 0, 0, 0, -0.110119, 8.3392, 7.39036, 20.3826, 2.8008e-07, 1.98179e-05, 2.98605, 65.2877, 0, 2.00035, 0
129.519, 8.50045, 3.99265, -0.434483, -0.00729158, 0, -6.08619, 0.0187936, 0.0125261, -0.002975, -0.000352347, 8.90613e-05, 2.8, 0, 0, 0, 0, -0.106098, 7.86453, 9.34005, 20.3469, 9.8907e-07, 1.95278e-05, 2.28132, 45.415, 0, 1.90024, 0
131.783, 10.3414, 3.6773, -0.519137, 0.0145291, 0, -6.081, 0.024274, 0.0102747, -0.00415247, 0.000214646, 2.96078e-05, 2.8, 0, 0, 0, 0, -0.103138, 7.24093, 11.1559, 20.3128, 2.08572e-06, 2.01505e-05, 1.69758, 30.7325, 0, 1.80005, 0
133.994, 11.7505, 3.36931, -0.552204, 0.0269814, 0, -6.07577, 0.0278927, 0.00783707, -0.00449892, 0.000516547, -5.37272e-06, 2.8, 0, 0, 0, 0, 0.214824, 6.65325, 12.5464, 20.3495, 3.4388e-06, 2.00728e-05, 1.29848, 21.7503, 0, 1.50002, 0
136.215, 12.9104, 3.07636, -0.560653, 0.0347178, 0, -6.07052, 0.0302888, 0.00550775, -0.0044706, 0.000686863, -2.78115e-05, 2.8, 0, 0, 0, 0, 0.249841, 6.10418, 13.6948, 20.4258, 5.10227e-06, 1.95054e-05, 1.00176, 15.6808, 0, 1.50002, 0
138.635, 13.9642, 2.78036, -0.554113, 0.0398425, 0, -6.06491, 0.0318529, 0.00322553, -0.00422128, 0.000782884, -4.33235e-05, 2.8, 0, 0, 0, 0, 0.348046, 5.55589, 14.744, 20.504, 5.89349e-06, 1.96066e-05, 0.76276, 11.1319, 0, 1.50008, 0
142.139, 15.2053, 2.39517, -0.528982, 0.0435435, 0, -6.05714, 0.0327143, 0.000450787, -0.00367804, 0.000825841, -5.56174e-05, 2.8, 0, 0, 0, 0, 0.439202, 4.84991, 15.9912, 20.6113, 5.90761e-06, 2.42358e-05, 0.526983, 6.88568, 0, 1.30002, 0
145.919, 16.2659, 2.02935, -0.490074, 0.0443723, 0, -6.04931, 0.0323398, -0.00191968, -0.00298309, 0.000793319, -6.00654e-05, 2.8, 0, 0, 0, 0, 0.397148, 4.18658, 17.0722, 20.7216, 6.05354e-06, 3.35195e-05, 0.347023, 4.17192, 0, 1, 0
149.933, 17.1578, 1.69183, -0.443108, 0.0431607, 0, -6.0417, 0.0309458, -0.00380163, -0.00223828, 0.00071223, -5.89267e-05, 2.8, 0, 0, 0, 0, 0.361131, 3.10145, 17.963, 20.8343, 5.7814e-06, 4.44134e-05, 0.236809, 2.51001, 0, 0.7, 0
153.785, 17.8397, 1.41191, -0.404488, 0.0429756, 0, -6.0351, 0.0289777, -0.00507834, -0.00157427, 0.000613667, -5.45977e-05, 2.6, 0, 0, 0, 0, 0.446993, 2.5442, 18.5759, 20.8438, 5.91108e-06, 4.53853e-05, 0.186359, 1.71445, 0, 0.5, 0
158.143, 18.4499, 1.13553, -0.361738, 0.0425053, 0, -6.02845, 0.0263011, -0.00600728, -0.000911705, 0.000494117, -4.76367e-05, 2.4, 0, 0, 0, 0, 0.406781, 1.9996, 19.1097, 20.817, 6.05097e-06, 4.25056e-05, 0.141086, 1.18596, 0, 0.2, 0
