s, d, v, x, y,t
141.375,6.18488,16.2932,926.021,1128.79,7.52874
141.813,6.16768,16.5046,926.459,1128.81,7.58472
142.26,6.15054,16.7432,926.905,1128.84,7.64072
142.561,6.13715,16.96,927.206,1128.85,7.69276
143.019,6.11707,17.1857,927.665,1128.88,7.74074
143.328,6.10179,17.4091,927.973,1128.89,7.79272
143.797,6.07874,17.6347,928.442,1128.92,7.84472
144.273,6.05588,17.8596,928.918,1128.95,7.90073
144.594,6.03863,18.091,929.239,1128.97,7.95674
156.244,5.45235,18.315,929.727,1129,8.00872
155.749,5.47323,18.5408,930.221,1129.03,8.06072
155.414,5.48781,18.7656,930.556,1129.05,8.11275
154.907,5.51011,18.9836,931.062,1129.09,8.16074
154.564,5.52545,19.2093,931.405,1129.11,8.21275
154.045,5.54615,19.4404,931.923,1129.14,8.26082
153.696,5.55825,19.6729,932.272,1129.17,8.31273
153.165,5.57708,19.885,932.802,1129.21,8.3609
152.807,5.59005,20.1165,933.159,1129.23,8.41274
152.264,5.61033,20.347,933.701,1129.27,8.46073
151.899,5.62417,20.5581,934.066,1129.3,8.51272
151.343,5.64563,20.7906,934.62,1129.34,8.56475
150.782,5.66479,21.0096,935.18,1129.38,8.62072
150.405,5.67799,21.2264,935.556,1129.41,8.67274
150.919,5.69847,21.4511,936.128,1129.45,8.72473
151.499,5.71656,21.6849,936.706,1129.49,8.77674
151.89,5.72919,21.9095,937.097,1129.53,8.82491
152.481,5.74562,22.1291,937.686,1129.57,8.87681
152.879,5.75487,22.3502,938.082,1129.61,8.93274
153.482,5.76969,22.5667,938.683,1129.66,8.98074
153.888,5.77785,22.7938,939.087,1129.69,9.03273
154.501,5.78861,23.0156,939.698,1129.75,9.08474
154.915,5.79568,23.2387,940.11,1129.79,9.13674
155.54,5.80467,23.4609,940.733,1129.85,9.18873
156.173,5.81367,23.6851,941.363,1129.91,9.24074
156.599,5.81801,23.9063,941.787,1129.95,9.29272
157.244,5.82525,24.1305,942.429,1130.01,9.34473
157.895,5.83009,24.3519,943.077,1130.08,9.40072
158.334,5.83286,24.5682,943.514,1130.12,9.45275
158.997,5.83812,24.7909,944.173,1130.19,9.50073
159.445,5.83969,25.0211,944.618,1130.24,9.55275
160.119,5.84319,25.245,945.289,1130.31,9.60073
160.573,5.84649,25.451,945.74,1130.35,9.65275
161.26,5.84822,25.6912,946.423,1130.43,9.70074
161.72,5.85042,25.8968,946.882,1130.47,9.75276
162.417,5.85323,26.1208,947.574,1130.55,9.80473
163.122,5.85383,26.3478,948.275,1130.62,9.85674
163.595,5.85536,26.5532,948.745,1130.67,9.90477
164.311,5.85435,26.8009,949.457,1130.75,9.95672
164.792,5.85467,26.9992,949.936,1130.8,10.0087
165.521,5.85189,27.2338,950.66,1130.89,10.0607
166.01,5.85112,27.4454,951.145,1130.94,10.1088
166.75,5.84656,27.6685,951.881,1131.03,10.1607
167.247,5.84456,27.8933,952.375,1131.08,10.2127
167.997,5.83925,28.1144,953.12,1131.17,10.2647
168.755,5.83063,28.3385,953.873,1131.26,10.3167
169.264,5.82601,28.5626,954.378,1131.32,10.3728
170.032,5.81844,28.7728,955.14,1131.41,10.4207
170.549,5.8126,29.0026,955.653,1131.47,10.4728
171.328,5.80144,29.2259,956.427,1131.57,10.5208
171.853,5.79241,29.4511,956.948,1131.63,10.5727
172.645,5.77651,29.6596,957.733,1131.74,10.6288
173.444,5.75729,29.8864,958.526,1131.84,10.6807
173.98,5.74366,30.0943,959.057,1131.91,10.7287
174.792,5.71971,30.3289,959.861,1132.03,10.7807
186.013,5.08143,30.537,960.4,1132.1,10.8287
185.195,5.15233,30.7615,961.214,1132.21,10.8807
184.644,5.19862,30.9863,961.76,1132.29,10.9328
183.814,5.26809,31.2045,962.585,1132.41,10.9808
183.256,5.31422,31.4362,963.139,1132.49,11.0328
182.413,5.38343,31.6505,963.976,1132.61,11.0848
181.847,5.42923,31.8707,964.538,1132.69,11.1327
180.993,5.49803,32.0802,965.386,1132.82,11.1807
180.419,5.54364,32.3053,965.955,1132.9,11.2287
181.166,5.61014,32.5374,966.815,1133.03,11.2807
181.746,5.65308,32.5423,967.39,1133.12,11.3287
182.918,5.73747,32.9671,968.551,1133.3,11.4007
183.508,5.77744,33.1663,969.135,1133.39,11.4528
184.399,5.83838,33.382,970.017,1133.53,11.5007
184.997,5.87806,33.5881,970.608,1133.63,11.5527
185.899,5.93553,33.8011,971.501,1133.77,11.6007
186.505,5.97288,34.0142,972.099,1133.87,11.6487
187.417,6.02531,34.2212,973,1134.02,11.7008
188.03,6.05829,34.4417,973.605,1134.13,11.7487
188.954,6.10421,34.6302,974.516,1134.29,11.8008
189.574,6.13276,34.8378,975.127,1134.4,11.8487
190.51,6.17012,35.0524,976.048,1134.58,11.9007
191.138,6.19218,35.2473,976.665,1134.69,11.9487
192.086,6.22079,35.473,977.594,1134.88,12.0007
192.722,6.23651,35.6768,978.218,1135.01,12.0488
193.68,6.25539,35.8777,979.156,1135.2,12.1007
