a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
124.932, 0, 0, 1.3125, -0.164062, 0, -6.09322, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, -0.125849, 8.07414, 0.0387083, 21.4395, 1.20924e-11, 2.01302e-05, 3.48762, 249.886, 0, 0, 0
125.194, 1.27575, 2.00813, 1.43205, -0.298412, 0, -6.09322, 0, 0, 0.0145661, -0.0054623, 0.00054623, 2.8, 0, 0, 0, 0, -0.128567, 9.3505, 1.71946, 20.4953, 9.61568e-13, 2.43985e-05, 5.29865, 176.416, 0, 0, 0
125.249, 1.4432, 2.17711, 1.33022, -0.283822, 0, -6.09322, 6.8526e-05, 0.00169585, 0.0132684, -0.00513571, 0.000518924, 2.8, 0, 0, 0, 0, -0.127638, 9.21534, 1.9179, 20.4908, 1.91651e-08, 2.33657e-05, 5.19675, 170.469, 0, 0, 0
125.793, 2.82511, 3.09956, 0.714694, -0.193516, 0, -6.09288, 0.00329199, 0.0100534, 0.0057379, -0.00314565, 0.000348554, 2.8, 0, 0, 0, 0, -0.121351, 8.3491, 3.46929, 20.4582, 1.04985e-08, 1.96542e-05, 4.45729, 131.791, 0, 0, 0
126.406, 4.0059, 3.44788, 0.398218, -0.144407, 0, -6.09193, 0.00739737, 0.0125606, 0.00216972, -0.00210679, 0.00025571, 2.8, 0, 0, 0, 0, -0.117233, 7.86703, 4.7156, 20.4341, 6.68282e-09, 1.98225e-05, 3.90814, 108.091, 0, 0, 0
127.241, 5.28248, 3.63484, 0.146358, -0.103407, 0, -6.09018, 0.0120823, 0.0133376, -0.000443158, -0.00127301, 0.00017842, 2.8, 0, 0, 0, 0, -0.113386, 7.53709, 6.03106, 20.4088, 1.00706e-07, 1.9661e-05, 3.38284, 87.1721, 0, 0, 0
128.72, 7.04677, 3.70448, -0.111842, -0.05878, 0, -6.08652, 0.0183404, 0.0126033, -0.00281069, -0.000414117, 9.51253e-05, 2.8, 0, 0, 0, 0, -0.108832, 7.43712, 7.82126, 20.3731, 6.39846e-07, 2.01469e-05, 2.714, 63.6747, 0, 0, 0
130.448, 8.658, 3.6136, -0.274077, -0.0278774, 0, -6.08191, 0.0234612, 0.0106381, -0.00397804, 0.000127865, 3.87866e-05, 2.8, 0, 0, 0, 0, -0.105433, 7.20538, 9.43683, 20.3392, 1.37364e-06, 2.0105e-05, 2.14575, 46.6122, 0, 0, 0
132.73, 10.3436, 3.40663, -0.390523, -0.00268355, 0, -6.07572, 0.0278878, 0.00782345, -0.00449405, 0.000516074, -5.37184e-06, 2.8, 0, 0, 0, 0, -0.102711, 6.77632, 11.1189, 20.3057, 2.57244e-06, 1.97395e-05, 1.62903, 32.3039, 0, 0, 0
135.167, 11.7857, 3.1481, -0.451357, 0.0136755, 0, -6.06925, 0.0306995, 0.00500668, -0.00444637, 0.000718335, -3.22037e-05, 2.8, 0, 0, 0, 0, 0.267562, 6.2732, 12.5564, 20.3699, 4.19958e-06, 1.95473e-05, 1.23527, 22.5596, 0, 0, 0
