s, d
2389.55,-5.97465
2397.02,-5.97253
2405.36,-5.97305
2415.28,-5.97362
2425.1,-5.95394
2434.41,-5.75234
2444.05,-5.28584
2453.28,-4.68123
2462.48,-4.0126
2471.67,-3.40628
2480.08,-2.92667
2488.49,-2.5533
2496.15,-2.31235
2503.83,-2.13444
2511.15,-2.02748
2518.09,-1.98292
2525.06,-1.97872
2532.06,-1.98589
2539.09,-1.98431
2546.13,-1.98458
2553.17,-1.97932
2560.1,-1.98539
2566.53,-1.97978
2573.26,-1.98045
2580.3,-1.97886
2586.89,-1.98152
2593.44,-1.98038
2600.75,-1.98045
2608.86,-1.97899
2617.01,-1.98172
2625.21,-1.98376
2633.44,-1.97955
2641.72,-1.97873
2650.04,-1.98416
2658.39,-1.97837
2666.78,-1.98262
2674.8,-1.98451
2682.46,-1.97795
2690.13,-1.98341
2697.44,-1.9813
2704.76,-1.98263
2711.7,-1.98013
2718.64,-1.97751
2725.19,-1.97916
2731.74,-1.97915
2738.31,-1.98306
2744.88,-1.97791
2751.88,-1.98122
2758.46,-1.98665
2765.06,-1.98086
2771.65,-1.97733
2778.25,-1.97752
2785.27,-1.98642
2792.7,-1.9826
2800.14,-1.98298
2807.57,-1.98526
2815,-1.98274
2821.61,-1.98347
2828.22,-1.97999
2835.24,-1.97781
2841.43,-1.97783
2848.04,-1.98489
2854.23,-1.98475
2860.01,-1.98017
2866.2,-1.98059
2871.55,-1.9836
2876.91,-1.98186
2881.85,-1.98407
2887.19,-1.98612
2892.53,-1.98026
2897.87,-1.98489
2902.8,-1.98297
2908.12,-1.97664
2913.45,-1.97838
2918.37,-1.98549
2923.69,-1.98341
2929.01,-1.97743
2934.33,-1.98567
2939.23,-1.98387
2946.59,-1.9842
2953.95,-1.98291
2961.3,-1.97796
2969.06,-1.98346
2976.41,-1.98512
2984.16,-1.97875
2992.33,-1.98045
2999.68,-1.981
3007.03,-1.98086
3013.96,-1.98039
3020.08,-1.97822
3025.8,-1.98718
3031.11,-1.97885
3036.41,-1.98617
3041.72,-1.98484
3046.2,-1.98059
3050.69,-1.98571
3055.59,-1.98282
3060.08,-1.98168
3064.97,-1.97912
3069.46,-1.97463
3073.94,-1.98252
